Day,Time,Type,Event Title,Event Subtitle,Event Subtitle Link,Event Speaker,Session,Track,Room,Chair,Paper ID,Presenter,Paper Title,Paper Authors
"June 7, 2023",10:15,Tracks,,,,,Separation assurance and safety nets,2,PARB 127,"Paula Nouragas, FAA",30,Benoit Figuet,Data-Driven Airborne Collision Risk Modelling using a Probability Density Function,"Benoit Figuet, Raphael Monstein (Zurich University of Applied Sciences) & Steven Barry (Airservices Australia)"
"June 7, 2023",11:00,Tracks,,,,,Separation assurance and safety nets,2,PARB 127,"Paula Nouragas, FAA",40,Sarah Degaugue,Learning uncertainty parameters for assistance in conflict resolution,"Sarah Degaugue, Richard Alligier, Jean-Baptiste Gotteland, Nicolas Durand (ENAC) & Yash Guleria (Nanyang Technological University)"
"June 7, 2023",11:45,Info,Coffee,,,,,,,,,,,
"June 7, 2023",12:15,Keynote,Keynote 3, Gulfstream Safety Innovations,./upcoming-seminar/papers-and-presentations/,"Chad Bland, Gulfstream",,,,,,,,
"June 7, 2023",13:00,Info,Light Lunch,,,,,,,,,,,
"June 7, 2023",14:15,Info,Visit Gulfstream Aerospace,Buses depart 14:15 – return at hotels forseen 17:00,,,,,,,,,,
"June 8, 2023",07:45,Info,Buses depart Montgomery Street Trolley Stop,,,,,,,,,,,
"June 8, 2023",08:30,Keynote,Keynote 4,Traffic forecasting in turbulent times,./upcoming-seminar/papers-and-presentations/,"Denis Huet, EUROCONTROL",,,,,,,,
"June 8, 2023",09:15,Tracks,,,,,Environment and energy efficiency I,1,PARB 114/115,"Hartmut Fricke, TU Dresden",23,Rüdiger Ehrmanntraut,Operational Live-Trial for Contrail Prevention at the  Maastricht Upper Area Control during 2021 - Can persistent contrails be avoided in the real world?,"Rüdiger Ehrmanntraut, Ilona Sitova, Kacper Walczak (EUROCONTROL) et al."
"June 8, 2023",10:00,Tracks,,,,,Environment and energy efficiency I,1,PARB 114/115,"Hartmut Fricke, TU Dresden",42,Esther Roosenbrand,Optimizing Global Flight Altitudes for Contrail Reduction: Insights from Open Flight and Weather Balloon Data,"Esther Roosenbrand, Junzi Sun & Jacco Hoekstra (TU Delft)"
"June 8, 2023",09:15,Tracks,,,,,"Autonomous, unmanned and remotely piloted aircraft systems I",2,PARB 127,"Billy Josefsson, LFV",38,Richard Alligier ,The Curse of the Time Horizon in Detect & Avoid Algorithms,"David Gianazza, Richard Alligier & Nicolas Durand (ENAC)"
"June 8, 2023",10:00,Tracks,,,,,"Autonomous, unmanned and remotely piloted aircraft systems I",2,PARB 127,"Billy Josefsson, LFV",10,Jordan Sakakeeny & Tim Felix Sievers,Potential of United States and European Regional Air Cargo Operations for Uncrewed Aircraft Systems,"Jordan Sakakeeny, Husni Idris (NASA) & Tim Felix Sievers (DLR)"
"June 8, 2023",10:45,Info,Coffee,,,,,,,,,,,
"June 8, 2023",11:15,Tracks,,,,,Air traffic flow management and optimization I,1,PARB 114/115,"Max Li, University of Michigan",33,Gabriele Enea & Tom Reynolds,Implementation of Long-Range Air Traffic Flow Management at Large Hub Airports: An International Perspective,"Gabriele Enea, Tom Reynolds (MIT LL), Adriana Andreeva-Mori, Masahide Onji  (JAXA), Jesper Bronsvoort (Airservices Australia) & Joachim Hochwarth (GE)"
"June 8, 2023",12:00,Tracks,,,,,Air traffic flow management and optimization I,1,PARB 114/115,"Max Li, University of Michigan",29,Ziming Wang,STL Combining LSTM for Long-term Predicting Airport Traffic Flow,"Ziming Wang, Yanjun Wang (Nanjing University), Yaoshuai Zhao (TravelSky), Mark Hansen (UC Berkely) & Daniel Delahaye (ENAC)"
"June 8, 2023",11:15,Tracks,,,,,"Autonomous, unmanned and remotely piloted aircraft systems II",2,PARB 127,"Billy Josefsson, LFV",19,Patrick Le Blaye,Quantitative air risk assessment for a drone inspection mission along fast-train lines,"Xavier Olive, Patrick Le Blaye (ONERA), Leonid Senov (Linköping University) & Timothé Krauth (Zurich University of Applied Sciences)"
"June 8, 2023",12:00,Tracks,,,,,"Autonomous, unmanned and remotely piloted aircraft systems II",2,PARB 127,"Billy Josefsson, LFV",68,Christopher Chin,Strategic Planning of Aerial Assets for Disaster Response: Enabling Efficient and Equitable Access to Drone-Based Search Resources,"Christopher Chin, Akila Saravanan, Hamsa Balakrishnan (Massachusetts Institute of Technology) & Adriana Andreeva-Mori (JAXA)"
"June 8, 2023",12:45,Info,Lunch,,,,,,,,,,,
"June 8, 2023",14:00,Tracks,,,,,Air traffic flow management and optimization II,1,PARB 114/115,"José Miguel De Pablo, CRIDA",25,Christine Taylor,Teaching Artificial Intelligence Good Air Traffic Flow Management,"Christine Taylor, Erik Vargo, Tyler Manderfield & Simon Heitin (MITRE)"
"June 8, 2023",14:45,Tracks,,,,,Air traffic flow management and optimization II,1,PARB 114/115,"José Miguel De Pablo, CRIDA",22,Raphaël Christien,Reducing CO2 emissions of arrivals by acting on departure times  : A perspective for 30 European airports,"Raphaël Christien, Karim Zeghal & Bruno Favennec (EUROCONTROL)"
"June 8, 2023",15:30,Tracks,,,,,Air traffic flow management and optimization II,1,PARB 114/115,"José Miguel De Pablo, CRIDA",58,Judith Rosenow,Multiple Aircraft in a multi-criteria Trajectory Optimization,"Judith Rosenow, Thomas Zeh, Martin Lindner, Stanley Förster & Hartmut Fricke (TU Dresden)"
"June 8, 2023",14:00,Tracks,,,,,"Autonomous, unmanned and remotely piloted aircraft systems III",2,PARB 127,"Nicolas Durand, ENAC",63,Max Z. Li ,Remote Identification Trajectory Coverage in Urban Air Mobility Applications,"Hejun Huang, Billy Mazotti, Joseph Kim & Max Z. Li (University of Michigan)"
"June 8, 2023",14:45,Tracks,,,,,"Autonomous, unmanned and remotely piloted aircraft systems III",2,PARB 127,"Nicolas Durand, ENAC",70,Ang Li,UAV Scheduling Strategies and Benefits in Multi-modal Last-Mile Urban Parcel Delivery,"Ang Li, Mark Hansen (UC Berkeley) & Bo Zou (University of Illinois)"
"June 8, 2023",16:30,Info,Buses depart conference center,,,,,,,,,,,
"June 8, 2023",18:00,Info,Gala Dinner,The Savannah River Queen - 502 East River Street,https://goo.gl/maps/KonM2ffzqD9oyy139?coh=178572&entry=tt,,,,,,,,,
"June 9, 2023",07:45,Info,Buses depart Montgomery Street Trolley Stop,,,,,,,,,,,
"June 9, 2023",08:30,Tracks,,,,,Air traffic flow management and optimization III,1,PARB 114/115,"Shannon Zelinski, NASA",62,Yanjun Wang,Slot allocation for a Multiple Airport System: Equity and Efficiency,"Mengyin Wang, Yanjun Wang (Nanjing University), Daniel Delahaye (ENAC), Chaohao Liao & Xu Hang (Central-South ATMB)"
"June 9, 2023",09:15,Tracks,,,,,Air traffic flow management and optimization III,1,PARB 114/115,"Shannon Zelinski, NASA",45,Chunyao Ma,Dynamic Air Traffic Flow Coordination for Flow-centric Airspace Management,"Chunyao Ma, Sameer Alam, Qing Cai (Nanyang Technological University) & Daniel Delahaye (ENAC)"
"June 9, 2023",08:30,Tracks,,,,,Environment and energy efficiency II,2,PARB 127,"Hartmut Fricke, TU Dresden",48,Judith Rosenow,Time of the Day-dependent impact of Contrail Avoidance Strategies on Airline Delay Costs,"Judith Rosenow, Hartmut Fricke (TU Dresden) & Lance Sherry (George Mason University)"
"June 9, 2023",09:15,Tracks,,,,,Environment and energy efficiency II,2,PARB 127,"Hartmut Fricke, TU Dresden",35,Alejandra Martin Frias,Enhancing environmental sustainability in aviation: an implementation of contrail mitigation strategies in commercial flight dispatching,"Alejandra Martin Frias, Raimund Zopp (Flightkeys) & Manuel Soler (University Carlos III Madrid )"
"June 9, 2023",10:00,Info,Coffee,,,,,,,,,,,
"June 9, 2023",10:30,Keynote,Keynote 5,A geometric challenge – no pressure,./upcoming-seminar/papers-and-presentations/,"Olivia Nuñez, SESAR JU",,,,,,,,
"June 9, 2023",11:15,Highlight_Info,Panel,Decarbonizing Air Transport,,"John-Paul Clarke, University of Texas at Austin; Olivia Nuñez, SESAR JU; Chip Meserole, Boeing; moderated by R John Hansman, MIT ",,,,,,,,
"June 9, 2023",12:45,Highlight_Info,Closing Session,"Best Paper Awards & Closing – Announcement ICRAT 2024, ATM Seminar 2025",,"Eric Neiderman, FAA and Dirk Schaefer, EUROCONTROL ",,,,,,,,
"June 9, 2023",13:30,Info,Lunch,,,,,,,,,,,
"June 9, 2023",14:15,Info,Buses depart conference center,,,,,,,,,,,
"June 9, 2023",13:30,Info,Committee Meeting ,(working lunch),,,,,,,,,,
